Micromarket,User Name,Date,Product Code,Product,Category,Change Type,Cost,Quantity,Total Product cost,Product price,Total Product Price,Site,TotalCost
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,PC11025,Otis Muffin Chocolate Chip,Pastry,Spoilage,0.9,2.0,1.8,3.75,7.5,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,PC11024,Otis Muffin Banana Nut,Pastry,Spoilage,0.88,2.0,1.76,3.75,7.5,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,AVR20474,Lays Chile Lemon 2.25oz,Chips,Spoilage,1.33,2.0,2.66,6.25,12.5,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,AVR00146,Lays BBQ 2.25oz,Chips,Spoilage,1.3,1.0,1.3,6.25,6.25,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,AVR27339,FR Breakfast Muffin Sausage & Egg,Fresh Food,Spoilage,2.99,1.0,2.99,9.99,9.99,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,AVR26232,FR SLB Triangle PBJ White,Fresh Food,Spoilage,1.92,5.0,9.6,8.99,44.95,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26240,FR Fruit Mixed,Fresh Food,Spoilage,2.75,1.0,2.75,9.49,9.49,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26220,FR SLB Multigrain Turkey & Bacon Club,Fresh Food,Spoilage,3.49,1.0,3.49,12.99,12.99,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26219,FR SLB EL Cubano 8oz,Fresh Food,Spoilage,3.92,1.0,3.92,13.99,13.99,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26225,FR SLB Sub Turkey & Cheese,Fresh Food,Spoilage,3.56,1.0,3.56,12.49,12.49,,
